"","aegopodiids","airid","ajugids","androsaceids","aparinids","arabids","arrhenaterid","asperulids","bellid","bryonids","convolvulid","cornids","eleocharid","empetrid","epipactids","equisylvatids","eranthids","fagids","fragariids","gypsophilids","hederids","hierochloids","illecebrids","junceffusids","linariid","loiseleureid","minuartid","moliniid","mugids","myrtillids","nardid","oxalids","piceids","polygonatids","primulids","quercids","ranunculids","rosids","sambucids","sarothamnid","thymids","tiliids","trientalids","trisetid","verbascids"
"270",0.160671462829736,0,0.0159872102318145,0,0,0,0.367705835331735,0,0,0.000799360511590728,0,0,0,0,0,0,0,0.000799360511590728,0,0.008792965627498,0,0,0,0,0.000799360511590728,0,0,0,0,0,0.00799360511590727,0,0.000799360511590728,0,0.00159872102318146,0,0.0575539568345324,0,0,0,0,0,0,0.319744204636291,0.0567545963229417
"271",0.025062656641604,0,0.00417710944026733,0,0,0,0.547201336675021,0.00835421888053467,0.00417710944026733,0.000417710944026734,0,0,0,0,0,0,0,0.00417710944026733,0.0835421888053467,0,0,0.00417710944026733,0.0835421888053467,0,0.00459482038429407,0,0,0.108604845446951,0,0,0.025062656641604,0,0,0,0.00835421888053467,0,0.0292397660818713,0,0,0,0.000835421888053467,0,0,0.050125313283208,0.00835421888053467
"272",0.00663129973474801,0.00331564986737401,0.0666445623342175,0,0.000331564986737401,0.0898541114058355,0.0862068965517241,0.0729442970822281,0.0397877984084881,0.019893899204244,0,0,0,0.00331564986737401,0.00331564986737401,0,0,0,0.00331564986737401,0.0673076923076923,0,0,0.019893899204244,0,0.00431034482758621,0,0,0.0862068965517241,0,0,0,0,0,0,0.125994694960212,0,0.0736074270557029,0,0,0,0.106763925729443,0.00331564986737401,0,0.112732095490716,0.00431034482758621
"273",0.00366178428761651,0,0.0066577896138482,0,0,0,0.223035952063915,0.0865512649800266,0,0,0,0.00033288948069241,0,0,0,0.0199733688415446,0,0,0.0236351531291611,0,0,0.0066577896138482,0.0699067909454061,0.066577896138482,0.0033288948069241,0,0.0033288948069241,0.0299600532623169,0,0,0.0266311584553928,0.0033288948069241,0,0,0.0233022636484687,0,0.0968708388814914,0,0,0,0.0199733688415446,0,0,0.173102529960053,0.113182423435419
"274",0.00841258229700073,0,0.0146305779078274,0,0.00365764447695684,0.00402340892465252,0.498171177761522,0.0226773957571324,0.000731528895391368,0.00402340892465252,0,0.000731528895391368,0,0.00365764447695684,0.000365764447695684,0,0.000365764447695684,0.00365764447695684,0.0117044623262619,0.00768105340160936,0,0.0735186539868325,0.00365764447695684,0,0.00475493782004389,0,0.000365764447695684,0.0954645208485735,0,0,0.153986832479883,0.000365764447695684,0.000365764447695684,0.000365764447695684,0.00658376005852231,0,0.0142648134601317,0.000365764447695684,0,0,0.0109729334308705,0.000365764447695684,0.000365764447695684,0.0332845647403072,0.0164594001463058
"275",0,0,0.020904729266621,0,0.020904729266621,0.0205620287868403,0.268334475668266,0.000342700479780672,0,0.00376970527758739,0,0,0,0,0,0.00342700479780672,0,0,0.0243317340644277,0.000685400959561343,0,0,0.0205620287868403,0,0.0723098012337217,0,0,0.00411240575736806,0,0,0.000342700479780672,0,0,0,0.00102810143934202,0,0.360863605209047,0,0,0,0.000685400959561343,0,0,0.148732008224812,0.0281014393420151
"276",0.00535905680600214,0.107181136120043,0.00535905680600214,0,0,0,0.144694533762058,0.00589496248660236,0.000535905680600214,0.00535905680600214,0,0,0,0,0,0,0,0,0.107181136120043,0,0,0,0.107181136120043,0,0.0107181136120043,0,0,0.219721329046088,0,0,0.00535905680600214,0,0,0,0.00643086816720257,0,0.0380493033226152,0,0,0,0.00535905680600214,0,0,0.219721329046088,0.00589496248660236
"277",0.0267175572519084,0,0.0232824427480916,0,0,0,0.153053435114504,0.00419847328244275,0.00763358778625954,0.0114503816793893,0,0,0,0,0,0.000381679389312977,0,0,0.0229007633587786,0.000381679389312977,0,0.286641221374046,0.0763358778625954,0,0.0305343511450382,0,0,0.180152671755725,0,0,0.00419847328244275,0,0,0,0.0805343511450382,0,0.0587786259541985,0,0,0,0.000763358778625954,0,0,0.0267175572519084,0.00534351145038168
"278",0.00465549348230912,0,0.0144320297951583,0,0.00465549348230912,0.00931098696461825,0.00512104283054004,0.00931098696461825,0.0293296089385475,0.00931098696461825,0,0.00558659217877095,0,0,0.000465549348230912,0.00512104283054004,0.00558659217877095,0,0.00139664804469274,0.00558659217877095,0,0.0279329608938547,0.00465549348230912,0,0.00558659217877095,0,0,0.349627560521415,0.000465549348230912,0,0.135940409683426,0,0.000931098696461825,0,0.0535381750465549,0,0.0293296089385475,0,0,0,0.00977653631284916,0,0,0.223463687150838,0.0488826815642458
"279",0.000565610859728507,0,0.000565610859728507,0,0,0,0,0.226809954751131,0.000565610859728507,0.000565610859728507,0,0,0,0,0,0,0,0,0.0339366515837104,0,0,0,0.113122171945701,0,0,0,0,0.424773755656109,0,0,0,0,0,0,0.147058823529412,0,0.0339366515837104,0,0,0,0.00622171945701357,0,0,0.00565610859728507,0.00622171945701357
"280",0.00389711613406079,0,0.00857365549493375,0,0.00389711613406079,0.0116913484021824,0.491426344505066,0.00467653936087295,0.00818394388152767,0.00389711613406079,0,0,0,0.00038971161340608,0,0,0,0.00389711613406079,0.00818394388152767,0.00857365549493375,0,0.00389711613406079,0.00038971161340608,0,0.0315666406858924,0,0.00389711613406079,0.101714731098987,0,0,0.00428682774746687,0,0,0.0779423226812159,0.0354637568199532,0,0.0288386593920499,0,0,0,0.00896336710833983,0,0,0.039360872954014,0.10639127045986
"281",0.000313381385145722,0,0.00313381385145722,0,0,0.00313381385145722,0.48574114697587,0.0191162644938891,0.000940144155437167,0.00344719523660295,0,0,0,0,0,0,0,0,0.0191162644938891,0.00313381385145722,0,0.125352554058289,0.00313381385145722,0,0.00626762770291445,0,0,0.188342212472579,0,0,0.0219366969602006,0,0,0,0.0817925415230335,0,0.00626762770291445,0,0,0,0.00658100908806017,0,0,0.0191162644938891,0.00313381385145722
